Name	tpm	expression_level	log_tpm	locus_tag
trpI	64.82906385343334	medium_low	6.018568835108723	PA0037
PA0038	272.5056594106333	high	8.090142381935374	PA0038
PA0039	1919.8416027623	high	10.906771570433477	PA0039
PA0040	17.131090663233334	low	4.098545099452772	PA0040
PA0041	21.584668468533334	low	4.431935028665369	PA0041
PA0041a	24.839047272100004	low	4.634537933414499	PA0041a
PA0042	65.74410015853333	medium_low	6.038789528396012	PA0042
PA0043	38.1300866776	medium_low	5.252857905500343	PA0043
exoT	59.49319562356666	medium_low	5.894652768324895	PA0044
PA0045	58.234330749499996	medium_low	5.863798007469104	PA0045
PA0046	27.802113307566668	low	4.797122644831387	PA0046
PA0047	32.524991810033335	medium_low	5.023476788552162	PA0047
PA0048	49.97398484433334	medium_low	5.643105355705765	PA0048
PA0049	13.224060478866667	low	3.725093322661193	PA0049
PA0050	5.874664128100001	not_expressed		PA0050
phzH	5.734469200233334	not_expressed		PA0051
PA0052	63.18518780283333	medium_low	5.981514488923072	PA0052
PA0054	107.12897703853332	medium_high	6.743204953480213	PA0054
PA0055	263.1107503353	high	8.0395263859736	PA0055
PA0056	15.050002348366666	low	3.9116918069870694	PA0056
PA0057	6.305021062866667	not_expressed		PA0057
PA0058	11.693172294200002	low	3.5475944731952427	PA0058
osmC	87.23645461663334	medium_high	6.446859233378894	PA0059
PA0060	126.89329407423334	medium_high	6.987472018910557	PA0060
PA0061	349.9957264209	high	8.451193496092284	PA0061
PA0062	22.30599177486667	low	4.4793593899108615	PA0062
PA0063	121.40313435986667	medium_high	6.923661859037697	PA0063
PA0064	102.87846947923333	medium_high	6.6847972747699345	PA0064
PA0065	41.283372448066665	medium_low	5.367488924547939	PA0065
PA0066	75.38410159429999	medium_high	6.236188388016112	PA0066
prlC	126.29720572976667	medium_high	6.980678910258833	PA0067
PA0068	255.17065234453332	high	7.99531860135519	PA0068
PA0069	22.21823013656667	low	4.473671993752346	PA0069
PA0070	1579.0101686538335	high	10.624804746689382	PA0070
PA0071	244.04900596206667	high	7.9310270652657255	PA0071
PA0072	93.89655812299999	medium_high	6.553000370233	PA0072
PA0073	116.71847699506667	medium_high	6.866889153211708	PA0073
ppkA	57.5879101073	medium_low	5.847694061780859	PA0074
pppA	63.007673138133335	medium_low	5.977455627059406	PA0075
PA0076	44.684674365966664	medium_low	5.481708205772737	PA0076
icmF1	49.63269173256666	medium_low	5.633218793405541	PA0077
PA0078	59.8908170954	medium_low	5.904262910146392	PA0078
PA0079	56.29475076880001	medium_low	5.814928498669144	PA0079
PA0080	39.5403593948	medium_low	5.30525407912442	PA0080
fha1	180.95287832206668	high	7.499470245857353	PA0081
PA0082	160.16484360540002	high	7.323413698805453	PA0082
PA0083	53.245973208433334	medium_low	5.734600518781875	PA0083
PA0084	70.15485338410001	medium_high	6.13247100929513	PA0084
hcp1	800.8386780025334	high	9.645367843287952	PA0085
PA0086	76.24881096516667	medium_high	6.252642935033427	PA0086
PA0087	41.155699358233335	medium_low	5.363020327879344	PA0087
PA0088	34.0128214463	medium_low	5.088006780961112	PA0088
PA0089	59.22020179663334	medium_low	5.888017501487027	PA0089
clpV1	75.19316155113334	medium_high	6.232529556725427	PA0090
vgrG1	51.99824175129999	medium_low	5.700390936226366	PA0091
PA0092	52.47010740786667	medium_low	5.713423838110661	PA0092
PA0093	54.05727824203333	medium_low	5.756416969586972	PA0093
PA0094	86.7189407495	medium_high	6.4382752295222225	PA0094
PA0095	113.30267521763334	medium_high	6.824038115166591	PA0095
PA0096	26.16517541733333	low	4.709576026030648	PA0096
PA0097	15.430303791633333	low	3.9476945608380345	PA0097
PA0098	21.59038464406667	low	4.432317040848259	PA0098
PA0099	50.26702740426666	medium_low	5.651540471091429	PA0099
PA0100	70.81004986446665	medium_high	6.145882227239228	PA0100
PA0101	55.535438839499996	medium_low	5.795336787459113	PA0101
PA0102	293.6289396864333	high	8.197850355110365	PA0102
PA0103	15.178696741066666	low	3.9239760196383697	PA0103
PA0103a	53.67117256613333	medium_low	5.746075502224472	PA0103a
coxB	44.72806157753333	medium_low	5.48310833114006	PA0105
coxA	28.303514018633333	low	4.822909276655884	PA0106
PA0107	14.203107359866666	low	3.8281346923807784	PA0107
coIII	93.039527649	medium_high	6.53977186732	PA0108
PA0109	108.18712301723332	medium_high	6.757384982241365	PA0109
PA0110	8.638522216233333	not_expressed		PA0110
PA0111	7.861185827633332	not_expressed		PA0111
PA0112	10.2426497715	low	3.356517083436165	PA0112
PA0113	41.194850719600005	medium_low	5.36439210934504	PA0113
senC	449.9029563284	high	8.813470036723489	PA0114
PA0115	96.72895537163333	medium_high	6.595875913421378	PA0115
PA0116	67.59961246360001	medium_high	6.078943070707766	PA0116
PA0117	61.40037690849999	medium_low	5.940175606547228	PA0117
PA0118	40.47906495363333	medium_low	5.33910405976305	PA0118
PA0119	74.0110485633	medium_high	6.20966875100276	PA0119
PA0120	134.3289511852	medium_high	7.069626464234846	PA0120
PA0121	114.17971762999998	medium_high	6.835162589395068	PA0121
PA0122	176.24179064643332	high	7.461412248026508	PA0122
PA0123	32.306390813966665	medium_low	5.013747680351832	PA0123
PA0124	100.22515011543334	medium_high	6.647100768107799	PA0124
PA0125	56.43735150536667	medium_low	5.818578381551681	PA0125
PA0126	31.4135551258	medium_low	4.973315319383885	PA0126
PA0127	44.62026158886667	medium_low	5.479627066377405	PA0127
PA0128	155.47294541196666	high	7.2805197417330305	PA0128
gabP	48.86358048013333	medium_low	5.610687675882526	PA0129
PA0130	50.58122105776667	medium_low	5.660529959739864	PA0130
PA0131	108.01787204453335	medium_high	6.755126222319663	PA0131
PA0132	36.8945090437	medium_low	5.205334212937595	PA0132
PA0133	56.970278791199995	medium_low	5.832137561122216	PA0133
PA0134	54.6264726835	medium_low	5.771528363862939	PA0134
PA0135	0.0	not_expressed		PA0135
PA0136	10.739202990899999	low	3.424815022685293	PA0136
PA0137	20.381998732966668	low	4.3492236292541	PA0137
PA0138	51.09415101513334	medium_low	5.675086243497838	PA0138
ahpC	2046.8182780054	high	10.999167306389246	PA0139
ahpF	43.254083094900004	medium_low	5.434764421456885	PA0140
PA0141	182.17232206526668	high	7.50915997299577	PA0141
PA0142	52.6397593676	medium_low	5.718080988976405	PA0142
nuh	79.97552161586667	medium_high	6.321486591795926	PA0143
PA0144	110.82438332150001	medium_high	6.792131524472903	PA0144
PA0145	80.8520116107	medium_high	6.337211763511196	PA0145
PA0146	10.9857604883	low	3.4575628385423194	PA0146
PA0147	44.4396996008	medium_low	5.4737771594563815	PA0147
PA0148	49.7109790403	medium_low	5.6354926118206015	PA0148
PA0149	25.494711046666666	low	4.672126081651504	PA0149
PA0150	23.586266826400003	low	4.559875185476407	PA0150
PA0151	8.8155056544	not_expressed		PA0151
pcaQ	81.14461665936666	medium_high	6.342423480770224	PA0152
pcaH	10.806787966966667	low	3.43386587857741	PA0153
pcaG	38.889067875866665	medium_low	5.281292750410813	PA0154
pcaR	12.018517299966666	low	3.5871870195615014	PA0155
PA0156	70.61789066693332	medium_high	6.141961823804148	PA0156
PA0157	34.36205935463334	medium_low	5.102744596197469	PA0157
PA0158	48.48096296876667	medium_low	5.59934644997848	PA0158
PA0159	64.37741688206667	medium_low	6.008482785306609	PA0159
PA0160	73.3693266643	medium_high	6.197105139996282	PA0160
opdC	31.646965442099997	medium_low	4.983995264319098	PA0162
PA0163	64.6154973787	medium_low	6.013808317237103	PA0163
PA0164	83.72031973513333	medium_high	6.387505916268496	PA0164
PA0165	51.602319508233336	medium_low	5.689364010687362	PA0165
PA0166	16.492835429633335	low	4.043767541486866	PA0166
PA0167	129.5500257126	medium_high	7.017365491633425	PA0167
PA0168	60.16453878983333	medium_low	5.910841502371418	PA0168
PA0169	44.8891460812	medium_low	5.488294747252748	PA0169
PA0170	22.60801229473333	low	4.498762250241296	PA0170
PA0171	21.928959169600002	low	4.454765432822639	PA0171
PA0172	35.487065049066665	medium_low	5.149221356402368	PA0172
PA0173	17.4171092718	low	4.1224332937205395	PA0173
PA0174	14.091489823566667	low	3.816752243614171	PA0174
PA0175	35.59636013483333	medium_low	5.153657822486484	PA0175
aer2	76.51526048493332	medium_high	6.257675607794487	PA0176
PA0177	60.5730281001	medium_low	5.920603629702042	PA0177
PA0178	61.444638261533335	medium_low	5.941215219545754	PA0178
PA0179	435.9139656024667	high	8.76789961457852	PA0179
cttP	70.53916018446667	medium_high	6.1403524945114984	PA0180
PA0181	85.44562195186666	medium_high	6.41693466812123	PA0181
PA0182	14.9500701913	low	3.902080352849385	PA0182
atsA	19.309918469933333	low	4.2712701678620375	PA0183
PA0184	12.238098048366666	low	3.613307457705577	PA0184
PA0185	10.239051250400001	low	3.3560101364210344	PA0185
PA0186	23.379459882933332	low	4.547169695705845	PA0186
PA0187	7.428228825166667	not_expressed		PA0187
PA0188	4.3350500245	not_expressed		PA0188
PA0189	11.277227464133334	low	3.495340515868653	PA0189
PA0190	17.7007950584	low	4.1457422575148595	PA0190
PA0191	22.089854960866663	low	4.465312041062427	PA0191
PA0192	9.0169919572	not_expressed		PA0192
PA0193	6.4960187891	not_expressed		PA0193
PA0194	13.938768520633333	low	3.8010312007381946	PA0194
pntAA	83.37704073613332	medium_high	6.381578263015091	PA0195
pntAB	67.2836955991	medium_high	6.072185043584918	PA0195.1
pntB	45.05578783266666	medium_low	5.493640540352156	PA0196
tonB2	7.5246187846	not_expressed		PA0197
exbB1	56.26576734783333	medium_low	5.814185534096479	PA0198
exbD1	237.23361283466667	high	7.890164624761135	PA0199
PA0200	1742.3710770025666	high	10.76683619559074	PA0200
PA0201	191.54195306836667	high	7.581516607276435	PA0201
PA0202	24.178880317966662	low	4.595675532314823	PA0202
PA0203	4.3657920283	not_expressed		PA0203
PA0204	16.7536850616	low	4.066406553763173	PA0204
PA0205	14.1718253303	low	3.8249536841506298	PA0205
PA0206	18.162109612233333	low	4.182859882887367	PA0206
PA0207	124.25877354206666	medium_high	6.9572039095603895	PA0207
mdcA	20.93391816906667	low	4.387770458752515	PA0208
PA0209	4.5683469832000005	not_expressed		PA0209
mdcC	0.9569298107333334	not_expressed		PA0210
mdcD	2.790211111866667	not_expressed		PA0211
mdcE	4.121510369066667	not_expressed		PA0212
PA0213	8.367126046666668	not_expressed		PA0213
PA0214	60.28234076796667	medium_low	5.91366353287107	PA0214
PA0215	97.89424939320001	medium_high	6.613152208898306	PA0215
PA0216	17.9261203724	low	4.163991384257707	PA0216
PA0217	23.270212333999996	low	4.54041246986832	PA0217
PA0218	30.215565639	low	4.917220044601331	PA0218
PA0219	8.2332303387	not_expressed		PA0219
PA0220	24.579262733466667	low	4.619369736931393	PA0220
PA0221	8.904500728666667	not_expressed		PA0221
PA0222	4.5118340808	not_expressed		PA0222
PA0223	18.4093828607	low	4.2023693587978315	PA0223
PA0224	20.4413187135	low	4.353416365529738	PA0224
PA0225	48.9412623511	medium_low	5.612979408486613	PA0225
PA0226	13.492363508466667	low	3.754071187671008	PA0226
PA0227	22.601835304066668	low	4.498368021358379	PA0227
pcaF	25.0791018498	low	4.648413777156441	PA0228
pcaT	18.531044282133333	low	4.211872278907911	PA0229
pcaB	48.0931653302	medium_low	5.587759977555538	PA0230
pcaD	16.638361193433333	low	4.056441436146448	PA0231
pcaC	24.948278318033335	low	4.640868353426289	PA0232
PA0233	33.31938906876667	medium_low	5.058290043143614	PA0233
PA0234	34.39717218053333	medium_low	5.104218059558531	PA0234
pcaK	5.420256148733333	not_expressed		PA0235
PA0236	25.722799097666666	low	4.684975736954401	PA0236
PA0237	6.404535804233333	not_expressed		PA0237
PA0238	34.47413614643333	medium_low	5.107442495999463	PA0238
PA0239	40.430624477	medium_low	5.33737658202191	PA0239
PA0240	24.855483535633336	low	4.635492264459366	PA0240
PA0241	8.769811640166667	not_expressed		PA0241
PA0242	10.274787132599998	low	3.3610366001399634	PA0242
PA0243	78.49992712926667	medium_high	6.294619409652208	PA0243
PA0244	12.186021459400001	low	3.6071552809216674	PA0244
aroQ2	23.187996501433332	low	4.535306267940993	PA0245
PA0246	27.2886599516	low	4.770229645650067	PA0246
pobA	10.1027703884	low	3.3366790589089703	PA0247
PA0248	108.21271497133334	medium_high	6.757726215264292	PA0248
PA0249	76.36737163153335	medium_high	6.254884465609157	PA0249
PA0250	213.55142520616667	high	7.7384397160901	PA0250
PA0251	15.6584223078	low	3.9688669535331207	PA0251
PA0252	44.91292093833332	medium_low	5.489058646579876	PA0252
PA0253	112.35345283416666	medium_high	6.811900651721871	PA0253
PA0254	35.504751129266666	medium_low	5.149940189138273	PA0254
PA0255	64.17101717156666	medium_low	6.0038499463792725	PA0255
PA0256	80.00443820173332	medium_high	6.322008129812702	PA0256
PA0257	92.69333752596667	medium_high	6.534393741573386	PA0257
PA0258	112.44852790323334	medium_high	6.813120964268787	PA0258
PA0259	280.38172943863333	high	8.131248531608737	PA0259
PA0260	86.51795786433333	medium_high	6.434927707785855	PA0260
PA0261	43.058707894099996	medium_low	5.4282331226427845	PA0261
PA0262	40.89200652736667	medium_low	5.353746951003233	PA0262
hcpC	19.447958810633335	low	4.281546837846385	PA0263
gabD	156.29828138029998	high	7.288158104659007	PA0265
PA0266	249.75503875633333	high	7.964369974160565	PA0266
PA0267	35.132426482	medium_low	5.134731317125283	PA0267
PA0268	14.888628122766667	low	3.8961389212276036	PA0268
PA0269	55.74663492123333	medium_low	5.800812815992547	PA0269
PA0270	28.300386893566667	low	4.822749871111114	PA0270
PA0271	25.7976253131	low	4.689166365702954	PA0271
PA0272	34.0411488233	medium_low	5.089207820915656	PA0272
PA0273	5.6266290252	not_expressed		PA0273
PA0274	8.538435663133335	not_expressed		PA0274
PA0275	142.03681420249998	medium_high	7.150121096855664	PA0275
PA0276	62.439711436566675	medium_low	5.964391964842578	PA0276
PA0277	35.3636047315	medium_low	5.144193435883564	PA0277
PA0278	14.856941804766665	low	3.8930652728661723	PA0278
PA0279	62.57881555873333	medium_low	5.967602447558354	PA0279
cysA	127.3115291373	medium_high	6.992219263185675	PA0280
cysW	48.10941145186667	medium_low	5.58824724515624	PA0281
cysT	20.924967652799996	low	4.38715348745122	PA0282
sbp	52.32755721783334	medium_low	5.709499006773766	PA0283
PA0284	131.8941758619	medium_high	7.043237049734403	PA0284
PA0285	53.022180674433336	medium_low	5.728524100880826	PA0285
desA	194.53892296850003	high	7.603915025478059	PA0286
gpuP	11.439811215466667	low	3.5159913392451587	PA0287
gpuA	7.722115593600001	not_expressed		PA0288
gpuR	79.6772225589	medium_high	6.316095452755959	PA0289
PA0290	64.62469597453334	medium_low	6.014013683203681	PA0290
oprE	541.5289777289333	high	9.080894729653144	PA0291
aguA	80.08767656796665	medium_high	6.323508360966132	PA0292
aguB	14.030639012633335	low	3.8105088115688597	PA0293
aguR	55.09205604103334	medium_low	5.78377240031808	PA0294
PA0295	51.78230170363333	medium_low	5.694387188796985	PA0295
spuI	253.6569498086	high	7.986734878400869	PA0296
spuA	548.0498133195999	high	9.098163218294584	PA0297
spuB	92.81396104723332	medium_high	6.536269926303696	PA0298
spuC	136.12240367260003	medium_high	7.088760721770085	PA0299
spuD	194.34849163776667	high	7.60250210056396	PA0300
spuE	55.782641236833335	medium_low	5.801744340638828	PA0301
spuF	36.12394747593333	medium_low	5.1748836480820595	PA0302
spuG	80.53142535283332	medium_high	6.331479963253646	PA0303
spuH	76.31406334783333	medium_high	6.253877039923542	PA0304
PA0305	25.726919997933337	low	4.685206844237237	PA0305
PA0306	25.362835248733333	low	4.664644124696344	PA0306
PA0306a	341.52613865846666	high	8.415852188992401	PA0306a
PA0307	116.60826749926667	medium_high	6.865526268684959	PA0307
PA0308	56.8717833184	medium_low	5.829641138218731	PA0308
PA0309	99.779249273	medium_high	6.640667909611588	PA0309
PA0310	272.66611387756666	high	8.090991607378655	PA0310
PA0311	29.160580081366664	low	4.865947513872756	PA0311
PA0312	182.37538516386667	high	7.510767214790618	PA0312
PA0313	52.83395261503333	medium_low	5.723393439753924	PA0313
PA0314	41.54429806386667	medium_low	5.376578576227742	PA0314
PA0315	211.16198692153333	high	7.722206335949685	PA0315
serA	177.79056435086667	high	7.474034949682384	PA0316
PA0317	133.40379666623335	medium_high	7.0596559159194285	PA0317
PA0318	172.39623132406666	high	7.42958442644357	PA0318
PA0319	115.35301506953333	medium_high	6.849911903106551	PA0319
PA0320	19.010890012233332	low	4.248754169544984	PA0320
PA0321	21.218741215700003	low	4.407267166986709	PA0321
PA0322	22.492709972466667	low	4.491385585629885	PA0322
PA0323	19.169475718533334	low	4.260738975001653	PA0323
PA0324	17.83463185373333	low	4.156609530581351	PA0324
PA0325	50.682007442700005	medium_low	5.663401763609803	PA0325
PA0326	8.313419119466667	not_expressed		PA0326
PA0327	32.417010326433335	medium_low	5.018679138669553	PA0327
PA0328	26.040744202933336	low	4.70269877390318	PA0328
PA0329	598.0961327743333	high	9.224233579098215	PA0329
rpiA	179.1573792266	high	7.485083657015099	PA0330
ilvA1	85.1266976024	medium_high	6.411539758621686	PA0331
PA0332	154.38071647693334	high	7.270348748206336	PA0332
PA0333	50.98059071616666	medium_low	5.671876184966716	PA0333
PA0334	67.93121890096667	medium_high	6.086002835818866	PA0334
PA0335	157.3664492971333	high	7.297984179209003	PA0335
ygdP	1222.3310544168999	high	10.255419360229531	PA0336
ptsP	434.51659665213333	high	8.763267472569165	PA0337
PA0338	89.54444586556667	medium_high	6.484532044455324	PA0338
PA0339	61.94897080646667	medium_low	5.953008409137976	PA0339
PA0340	100.53405764583333	medium_high	6.651540511807568	PA0340
lgt	120.66660630903333	medium_high	6.914882664723817	PA0341
thyA	184.8170450717	high	7.529954007710578	PA0342
PA0343	106.4237769086	medium_high	6.733676699598015	PA0343
PA0344	20.20840661876667	low	4.336883668271167	PA0344
PA0345	40.7884135343	medium_low	5.350087489472847	PA0345
PA0346	18.975768076033333	low	4.2460863772109985	PA0346
glpQ	12.188269519766665	low	3.6074214027591864	PA0347
PA0348	50.063474837600005	medium_low	5.645686524886681	PA0348
PA0349	19.966673069333336	low	4.319522059806008	PA0349
folA	99.60835544846667	medium_high	6.63819485985617	PA0350
PA0351	131.1967515878	medium_high	7.035588189256718	PA0351
PA0352	54.957012922266664	medium_low	5.780231686391518	PA0352
ilvD	168.19552791346666	high	7.393995536611324	PA0353
PA0354	53.09679588613333	medium_low	5.7305528994449135	PA0354
pfpI	82.09179350376667	medium_high	6.359166101748186	PA0355
PA0356	78.36660904403334	medium_high	6.292167167237384	PA0356
mutM	226.32840796236664	high	7.822273867858247	PA0357
PA0358	57.69627895246666	medium_low	5.850406371991542	PA0358
PA0359	1317.1926143592334	high	10.363250612384283	PA0359
PA0360	71.68010322543333	medium_high	6.1635008098877	PA0360
PA0361	65.88029075006666	medium_low	6.041775017024395	PA0361
fdx1	763.7673448939	high	9.57698942818665	PA0362
coaD	153.17034794303333	high	7.258993224530902	PA0363
PA0364	21.864670665566667	low	4.450529713019173	PA0364
PA0365	36.826582260100004	medium_low	5.202675607107354	PA0365
PA0366	47.2505036716	medium_low	5.562257802859097	PA0366
PA0367	179.44931107543334	high	7.487432574283055	PA0367
PA0367a	290.8244644077667	high	8.184004824902974	PA0367a
PA0368	78.38139892286667	medium_high	6.292439416756701	PA0368
PA0370	41.20599986643333	medium_low	5.36478251354185	PA0370
PA0371	35.2619725778	medium_low	5.140041277106705	PA0371
PA0372	56.41091793583333	medium_low	5.817902507999254	PA0372
ftsY	217.86376465096666	high	7.767282455501318	PA0373
ftsE	182.17053268036668	high	7.509145802075781	PA0374
ftsX	220.83928763723335	high	7.786853042313681	PA0375
rpoH	1460.9372119454	high	10.51267846009198	PA0376
PA0377	86.39223307246668	medium_high	6.43282971038356	PA0377
PA0378	65.09127797136667	medium_low	6.024392334584344	PA0378
PA0379	73.66299062636666	medium_high	6.202868064949398	PA0379
PA0380	79.6663349442	medium_high	6.315898300037576	PA0380
thiG	72.2210648856	medium_high	6.174347787589422	PA0381
micA	99.44696204750001	medium_high	6.635855394493893	PA0382
PA0383	49.41206351653333	medium_low	5.626791400883396	PA0383
PA0384	61.7324774213	medium_low	5.947957785028508	PA0384
PA0385	57.176375834699996	medium_low	5.837347271501873	PA0385
PA0386	24.383626649266663	low	4.6078408131258906	PA0386
PA0387	361.3667138981	high	8.497319813006142	PA0387
PA0388	215.60538251646668	high	7.752249384715253	PA0388
PA0389	60.073195887633325	medium_low	5.908649512016162	PA0389
metX	83.89202437670001	medium_high	6.390461754907378	PA0390
PA0391	97.47542831836665	medium_high	6.606966683893971	PA0391
PA0392	150.10302202123333	high	7.229809212777018	PA0392
proC	218.52778133696665	high	7.771672890321135	PA0393
PA0394	302.9809054001	high	8.243083064157352	PA0394
pilT	162.1662373570333	high	7.341329674756571	PA0395
pilU	197.71960159210002	high	7.627312094316289	PA0396
PA0397	97.947535833	medium_high	6.613937292472319	PA0397
PA0398	254.55276958156665	high	7.991820952252728	PA0398
PA0399	83.33207944463334	medium_high	6.3808000760295025	PA0399
PA0400	38.00714291236667	medium_low	5.248198673334206	PA0400
PA0401	91.48509102999999	medium_high	6.515464747031413	PA0401
pyrB	171.04852626776668	high	7.418261863858065	PA0402
pyrR	115.5418640738	medium_high	6.852271865213085	PA0403
PA0404	107.51988307296666	medium_high	6.7484596640852965	PA0404
PA0405	316.0798104469	high	8.304145076018818	PA0405
tonB3	101.53783839313333	medium_high	6.665873642204243	PA0406
gshB	347.44499038156664	high	8.440640769377977	PA0407
pilG	1492.6390831587667	high	10.543649651820308	PA0408
pilH	684.1687281179666	high	9.418208352898096	PA0409
pilI	351.81134802496666	high	8.45865820889869	PA0410
pilJ	215.9522574294	high	7.754568587427223	PA0411
pilK	191.13764513663332	high	7.578468139221855	PA0412
chpA	167.3435878253	high	7.386669461505039	PA0413
chpB	151.5075151184	high	7.243245546213204	PA0414
chpC	191.1730765144	high	7.578735548270293	PA0415
chpD	94.80726974050002	medium_high	6.566925782876419	PA0416
chpE	51.007646343333334	medium_low	5.672641626574151	PA0417
PA0418	39.82905478886667	medium_low	5.315749337391485	PA0418
PA0419	88.78627377103334	medium_high	6.472264750143818	PA0419
bioA	61.91775434146667	medium_low	5.952281243062514	PA0420
PA0421	119.59297028503333	medium_high	6.9019887797038635	PA0421
PA0422	162.15156547263334	high	7.341199141960073	PA0422
pasP	799.1919000790334	high	9.64239815106443	PA0423
mexR	264.55477690406667	high	8.047422657618592	PA0424
mexA	246.12798372376665	high	7.943264885296738	PA0425
mexB	121.1173714039	medium_high	6.920261989909577	PA0426
oprM	261.5028129875667	high	8.030682655410937	PA0427
PA0428	71.25203075873334	medium_high	6.154859227982668	PA0428
PA0429	327.65886797900004	high	8.356050768095773	PA0429
metF	59.7531704118	medium_low	5.900943357203112	PA0430
PA0431	59.78669352026666	medium_low	5.901752520305981	PA0431
sahH	157.81315588686667	high	7.3020736685202685	PA0432
PA0433	26.6216945824	low	4.734530502644057	PA0433
PA0434	20.943861602633334	low	4.388455563963145	PA0434
PA0435	13.493990635333333	low	3.754245160624284	PA0435
PA0436	315.32603288043333	high	8.300700471616812	PA0436
codA	49.69244463536666	medium_low	5.6349546123553065	PA0437
codB	19.31751888173333	low	4.271837902990529	PA0438
PA0439	6.206981249200001	not_expressed		PA0439
PA0440	13.369675566533333	low	3.74089255177469	PA0440
dht	20.1463599513	low	4.332447290732476	PA0441
PA0442	0.0	not_expressed		PA0442
PA0443	12.211938463000001	low	3.6102203196995886	PA0443
PA0444	39.041445653433335	medium_low	5.286934569878952	PA0444
PA0445	0.1490451542	not_expressed		PA0445
PA0446	61.0634852613	medium_low	5.9322380300871	PA0446
gcdH	57.721654105666666	medium_low	5.851040738026409	PA0447
PA0448	32.28234311876667	medium_low	5.012673391072558	PA0448
PA0449	890.7350717634	high	9.798852589549652	PA0449
PA0450	12.650971640766665	low	3.661176288303648	PA0450
PA0451	79.98513884326667	medium_high	6.3216600685276925	PA0451
PA0452	24.00505950326667	low	4.585266607012232	PA0452
PA0451a	54.433498665866665	medium_low	5.766422861901683	PA0451a
PA0454	69.9933517118	medium_high	6.129145989688936	PA0454
dbpA	44.048921679166675	medium_low	5.461034797184919	PA0455
PA0456	5697.403754850234	high	12.476088933187661	PA0456
PA0457	96.31461939159999	medium_high	6.5896828931947	PA0457
PA0457.1	37.82755621303333	medium_low	5.241365671348154	PA0457.1
PA0458	26.311754093333334	low	4.717635524972254	PA0458
PA0459	34.97881495686667	medium_low	5.128409508080262	PA0459
PA0460	135.82768132676668	medium_high	7.085633716803453	PA0460
PA0461	67.66721159663332	medium_high	6.080385034660005	PA0461
PA0462	224.19948513810002	high	7.808639154851326	PA0462
creB	100.36805587369999	medium_high	6.64915636578	PA0463
creC	69.12634407306666	medium_high	6.111163721861415	PA0464
creD	25.47295855446667	low	4.670894625915939	PA0465
PA0466	10.730481519100001	low	3.423642911860716	PA0466
PA0467	57.92091996926666	medium_low	5.8560126120971265	PA0467
PA0468	146.1763024871	high	7.191565636116882	PA0468
PA0469	111.78359786316666	medium_high	6.804564705170006	PA0469
fiuA	25.015770570766666	low	4.64476598781368	PA0470
PA0471	32.94594366603334	medium_low	5.042028945154435	PA0471
PA0472	19.531887964566668	low	4.287759502661654	PA0472
PA0473	52.02597904693334	medium_low	5.701160304350428	PA0473
PA0474	7.169129058	not_expressed		PA0474
PA0475	26.510817642966668	low	4.728509261179383	PA0475
PA0476	38.39015353996667	medium_low	5.262664425087998	PA0476
PA0477	62.3502092341	medium_low	5.9623224963295085	PA0477
PA0478	42.1279906822	medium_low	5.3967072022910845	PA0478
PA0479	72.66526999556667	medium_high	6.18319409483787	PA0479
